ID,NAME,CODE_GENDER,FLAG_OWN_CAR,OWN_CAR,MARK_CAR,FLAG_OWN_REALTY,OWN_REALITY,MARK_REALTY,CNT_CHILDREN,MARK_CHILD,AMT_INCOME_TOTAL,MARK_INCOME,NAME_INCOME_TYPE,MARK_OCCUPATION,NAME_EDUCATION_TYPE,MARK_EDUCATION,NAME_FAMILY_STATUS,MARK_FAMILY,NAME_HOUSING_TYPE,MARK_HOUSE,DAYS_BIRTH,AGE,MARK_BIRTH,DAYS_EMPLOYED,EMP_YEARS,MARK_EMPLOYED,FLAG_MOBIL,MARK_MOBILE,FLAG_WORK_PHONE,MARK_WORK_PHONE,FLAG_PHONE,MARK_PHONE,FLAG_EMAIL,MARK_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,MARK_FAM_MEM,Credit score
5008830,Patricia,Female,N,0,0,Y,1,5,0,10,157500,6,Working,8,Secondary / secondary special,4,Married,10,House / apartment,10,-10031,27.48219178,5,-1469,4.024657534,4,1,1,0,0,1,3,0,0,Laborers,2,10,76
5008831,Kristen,Female,N,0,0,Y,1,5,0,10,157500,6,Working,8,Secondary / secondary special,4,Married,10,House / apartment,10,-10031,27.48219178,5,-1469,4.024657534,4,1,1,0,0,1,3,0,0,Laborers,2,10,76
5008832,Jamie,Female,N,0,0,Y,1,5,0,10,157500,6,Working,8,Secondary / secondary special,4,Married,10,House / apartment,10,-10031,27.48219178,5,-1469,4.024657534,4,1,1,0,0,1,3,0,0,Laborers,2,10,76
5008834,Elizabeth,Female,N,0,0,Y,1,5,1,8,112500,6,Working,8,Secondary / secondary special,4,Single / not married,2,House / apartment,10,-10968,30.04931507,4,-1620,4.438356164,4,1,1,0,0,0,0,0,0,,2,10,62
5008835,Connie,Female,N,0,0,Y,1,5,1,8,112500,6,Working,8,Secondary / secondary special,4,Single / not married,2,House / apartment,10,-10968,30.04931507,4,-1620,4.438356164,4,1,1,0,0,0,0,0,0,,2,10,62
6153712,Wendy,Female,N,0,0,Y,1,5,1,8,112500,6,Working,8,Secondary / secondary special,4,Single / not married,2,House / apartment,10,-10968,30.04931507,4,-1620,4.438356164,4,1,1,0,0,0,0,0,0,,2,10,62
5008836,Richard,Male,Y,1,5,Y,1,5,3,8,270000,6,Working,8,Secondary / secondary special,4,Married,10,House / apartment,10,-12689,34.76438356,4,-1163,3.18630137,4,1,1,0,0,0,0,0,0,Laborers,5,8,73
5008837,Matthew,Male,Y,1,5,Y,1,5,3,8,270000,6,Working,8,Secondary / secondary special,4,Married,10,House / apartment,10,-12689,34.76438356,4,-1163,3.18630137,4,1,1,0,0,0,0,0,0,Laborers,5,8,73
5008839,Bryan,Male,N,0,0,Y,1,5,1,8,405000,6,Commercial associate,6,Higher education,8,Married,10,House / apartment,10,-11842,32.44383562,4,-2016,5.523287671,5,1,1,0,0,0,0,0,0,Managers,3,8,71
5008840,Rick,Male,N,0,0,Y,1,5,1,8,405000,6,Commercial associate,6,Higher education,8,Married,10,House / apartment,10,-11842,32.44383562,4,-2016,5.523287671,5,1,1,0,0,0,0,0,0,Managers,3,8,71
5008841,Luke,Male,N,0,0,Y,1,5,1,8,405000,6,Commercial associate,6,Higher education,8,Married,10,House / apartment,10,-11842,32.44383562,4,-2016,5.523287671,5,1,1,0,0,0,0,0,0,Managers,3,8,71
5008843,Victor,Male,N,0,0,Y,1,5,1,8,405000,6,Commercial associate,6,Higher education,8,Married,10,House / apartment,10,-11842,32.44383562,4,-2016,5.523287671,5,1,1,0,0,0,0,0,0,Managers,3,8,71
5008844,Dillon,Male,Y,1,5,Y,1,5,0,10,112500,6,Commercial associate,6,Secondary / secondary special,4,Married,10,House / apartment,10,-20502,56.16986301,2,-4450,12.19178082,5,1,1,0,0,1,3,0,0,Drivers,2,10,77
5008846,Mark,Male,Y,1,5,Y,1,5,0,10,112500,6,Commercial associate,6,Secondary / secondary special,4,Married,10,House / apartment,10,-20502,56.16986301,2,-4450,12.19178082,5,1,1,0,0,1,3,0,0,Drivers,2,10,77
5008847,Scott,Male,Y,1,5,Y,1,5,0,10,112500,6,Commercial associate,6,Secondary / secondary special,4,Married,10,House / apartment,10,-20502,56.16986301,2,-4450,12.19178082,5,1,1,0,0,1,3,0,0,Drivers,2,10,77
5008849,John,Male,Y,1,5,Y,1,5,0,10,112500,6,Commercial associate,6,Secondary / secondary special,4,Married,10,House / apartment,10,-20502,56.16986301,2,-4450,12.19178082,5,1,1,0,0,1,3,0,0,Drivers,2,10,77
5008851,Travis,Male,Y,1,5,Y,1,5,0,10,112500,6,Commercial associate,6,Secondary / secondary special,4,Married,10,House / apartment,10,-20502,56.16986301,2,-4450,12.19178082,5,1,1,0,0,1,3,0,0,Drivers,2,10,77
5008852,Eddie,Male,Y,1,5,Y,1,5,0,10,112500,6,Commercial associate,6,Secondary / secondary special,4,Married,10,House / apartment,10,-20502,56.16986301,2,-4450,12.19178082,5,1,1,0,0,1,3,0,0,Drivers,2,10,77
5008853,Ethan,Male,Y,1,5,Y,1,5,0,10,112500,6,Commercial associate,6,Secondary / secondary special,4,Married,10,House / apartment,10,-20502,56.16986301,2,-4450,12.19178082,5,1,1,0,0,1,3,0,0,Drivers,2,10,77
6153733,Patrick,Male,Y,1,5,Y,1,5,0,10,112500,6,Commercial associate,6,Secondary / secondary special,4,Married,10,House / apartment,10,-20502,56.16986301,2,-4450,12.19178082,5,1,1,0,0,1,3,0,0,Drivers,2,10,77
6153734,Darrell,Male,Y,1,5,Y,1,5,0,10,112500,6,Commercial associate,6,Secondary / secondary special,4,Married,10,House / apartment,10,-20502,56.16986301,2,-4450,12.19178082,5,1,1,0,0,1,3,0,0,Drivers,2,10,77
6153735,Kevin,Male,Y,1,5,Y,1,5,0,10,112500,6,Commercial associate,6,Secondary / secondary special,4,Married,10,House / apartment,10,-20502,56.16986301,2,-4450,12.19178082,5,1,1,0,0,1,3,0,0,Drivers,2,10,77
5008854,Tonya,Female,Y,1,5,Y,1,5,2,8,135000,6,Working,8,Secondary / secondary special,4,Married,10,House / apartment,10,-15761,43.18082192,3,-3173,8.693150685,5,1,1,0,0,0,0,0,0,Laborers,4,8,73
5008855,Alyssa,Female,Y,1,5,Y,1,5,2,8,135000,6,Working,8,Secondary / secondary special,4,Married,10,House / apartment,10,-15761,43.18082192,3,-3173,8.693150685,5,1,1,0,0,0,0,0,0,Laborers,4,8,73
5008856,Hannah,Female,Y,1,5,Y,1,5,2,8,135000,6,Working,8,Secondary / secondary special,4,Married,10,House / apartment,10,-15761,43.18082192,3,-3173,8.693150685,5,1,1,0,0,0,0,0,0,Laborers,4,8,73
5008857,Megan,Female,Y,1,5,Y,1,5,2,8,135000,6,Working,8,Secondary / secondary special,4,Married,10,House / apartment,10,-15761,43.18082192,3,-3173,8.693150685,5,1,1,0,0,0,0,0,0,Laborers,4,8,73
5008859,Linda,Female,Y,1,5,Y,1,5,2,8,135000,6,Working,8,Secondary / secondary special,4,Married,10,House / apartment,10,-15761,43.18082192,3,-3173,8.693150685,5,1,1,0,0,0,0,0,0,Laborers,4,8,73
5008860,Rachel,Female,Y,1,5,Y,1,5,2,8,135000,6,Working,8,Secondary / secondary special,4,Married,10,House / apartment,10,-15761,43.18082192,3,-3173,8.693150685,5,1,1,0,0,0,0,0,0,Laborers,4,8,73
5008861,Angela,Female,Y,1,5,Y,1,5,2,8,135000,6,Working,8,Secondary / secondary special,4,Married,10,House / apartment,10,-15761,43.18082192,3,-3173,8.693150685,5,1,1,0,0,0,0,0,0,Laborers,4,8,73
5008862,Susan,Female,Y,1,5,Y,1,5,2,8,135000,6,Working,8,Secondary / secondary special,4,Married,10,House / apartment,10,-15761,43.18082192,3,-3173,8.693150685,5,1,1,0,0,0,0,0,0,Laborers,4,8,73
5008864,Jasmine,Female,Y,1,5,Y,1,5,2,8,135000,6,Working,8,Secondary / secondary special,4,Married,10,House / apartment,10,-15761,43.18082192,3,-3173,8.693150685,5,1,1,0,0,0,0,0,0,Laborers,4,8,73
5008865,Melissa,Female,Y,1,5,Y,1,5,2,8,135000,6,Working,8,Secondary / secondary special,4,Married,10,House / apartment,10,-15761,43.18082192,3,-3173,8.693150685,5,1,1,0,0,0,0,0,0,Laborers,4,8,73
5008866,Becky,Female,Y,1,5,Y,1,5,2,8,135000,6,Working,8,Secondary / secondary special,4,Married,10,House / apartment,10,-15761,43.18082192,3,-3173,8.693150685,5,1,1,0,0,0,0,0,0,Laborers,4,8,73
5008867,Karen,Female,Y,1,5,Y,1,5,2,8,135000,6,Working,8,Secondary / secondary special,4,Married,10,House / apartment,10,-15761,43.18082192,3,-3173,8.693150685,5,1,1,0,0,0,0,0,0,Laborers,4,8,73
6153736,Holly,Female,Y,1,5,Y,1,5,2,8,135000,6,Working,8,Secondary / secondary special,4,Married,10,House / apartment,10,-15761,43.18082192,3,-3173,8.693150685,5,1,1,0,0,0,0,0,0,Laborers,4,8,73
5008868,Stacy,Female,N,0,0,Y,1,5,1,8,211500,6,State servant,10,Secondary / secondary special,4,Civil marriage,8,House / apartment,10,-16212,44.41643836,3,-7099,19.44931507,5,1,1,0,0,0,0,0,0,Core staff,3,8,68
5008870,Cathy,Female,N,0,0,Y,1,5,1,8,211500,6,State servant,10,Secondary / secondary special,4,Civil marriage,8,House / apartment,10,-16212,44.41643836,3,-7099,19.44931507,5,1,1,0,0,0,0,0,0,Core staff,3,8,68
6153737,Jason,Male,Y,1,5,Y,1,5,0,10,360000,6,Commercial associate,6,Secondary / secondary special,4,Married,10,House / apartment,10,-16670,45.67123288,3,-5364,14.69589041,5,1,1,0,0,1,3,0,0,Security staff,2,10,78
5008873,Traci,Female,N,0,0,Y,1,5,2,8,126000,6,Commercial associate,6,Higher education,8,Married,10,House / apartment,10,-12411,34.00273973,4,-1773,4.857534247,4,1,1,0,0,0,0,1,3,Managers,4,8,73
5008874,Abigail,Female,N,0,0,Y,1,5,2,8,126000,6,Commercial associate,6,Higher education,8,Married,10,House / apartment,10,-12411,34.00273973,4,-1773,4.857534247,4,1,1,0,0,0,0,1,3,Managers,4,8,73
5008876,Stacie,Female,N,0,0,Y,1,5,2,8,126000,6,Commercial associate,6,Higher education,8,Married,10,House / apartment,10,-12411,34.00273973,4,-1773,4.857534247,4,1,1,0,0,0,0,1,3,Managers,4,8,73
5008877,Catherine,Female,N,0,0,Y,1,5,2,8,126000,6,Commercial associate,6,Higher education,8,Married,10,House / apartment,10,-12411,34.00273973,4,-1773,4.857534247,4,1,1,0,0,0,0,1,3,Managers,4,8,73
5008878,April,Female,N,0,0,Y,1,5,2,8,126000,6,Commercial associate,6,Higher education,8,Married,10,House / apartment,10,-12411,34.00273973,4,-1773,4.857534247,4,1,1,0,0,0,0,1,3,Managers,4,8,73
5008879,Carolyn,Female,N,0,0,Y,1,5,2,8,126000,6,Commercial associate,6,Higher education,8,Married,10,House / apartment,10,-12411,34.00273973,4,-1773,4.857534247,4,1,1,0,0,0,0,1,3,Managers,4,8,73
5008880,Jennifer,Female,N,0,0,Y,1,5,2,8,126000,6,Commercial associate,6,Higher education,8,Married,10,House / apartment,10,-12411,34.00273973,4,-1773,4.857534247,4,1,1,0,0,0,0,1,3,Managers,4,8,73
5008881,Sierra,Female,N,0,0,Y,1,5,2,8,126000,6,Commercial associate,6,Higher education,8,Married,10,House / apartment,10,-12411,34.00273973,4,-1773,4.857534247,4,1,1,0,0,0,0,1,3,Managers,4,8,73
5008882,Paige,Female,N,0,0,Y,1,5,2,8,126000,6,Commercial associate,6,Higher education,8,Married,10,House / apartment,10,-12411,34.00273973,4,-1773,4.857534247,4,1,1,0,0,0,0,1,3,Managers,4,8,73
5008888,Amanda,Female,N,0,0,Y,1,5,0,10,247500,6,Commercial associate,6,Higher education,8,Separated,4,Rented apartment,8,-17016,46.61917808,3,-1347,3.690410959,4,1,1,0,0,0,0,0,0,Core staff,1,10,65
5008889,Christine,Female,N,0,0,Y,1,5,0,10,247500,6,Commercial associate,6,Higher education,8,Separated,4,Rented apartment,8,-17016,46.61917808,3,-1347,3.690410959,4,1,1,0,0,0,0,0,0,Core staff,1,10,65
5008890,Sara,Female,N,0,0,Y,1,5,0,10,247500,6,Commercial associate,6,Higher education,8,Separated,4,Rented apartment,8,-17016,46.61917808,3,-1347,3.690410959,4,1,1,0,0,0,0,0,0,Core staff,1,10,65
5112847,Dorothy,Female,N,0,0,Y,1,5,0,10,247500,6,Commercial associate,6,Higher education,8,Separated,4,Rented apartment,8,-17016,46.61917808,3,-1347,3.690410959,4,1,1,0,0,0,0,0,0,Core staff,1,10,65
5008891,Kathy,Female,N,0,0,Y,1,5,0,10,297000,6,Commercial associate,6,Secondary / secondary special,4,Single / not married,2,Rented apartment,8,-15519,42.51780822,3,-3234,8.860273973,5,1,1,0,0,0,0,0,0,Laborers,1,10,60
5008893,Stephanie,Female,N,0,0,Y,1,5,0,10,297000,6,Commercial associate,6,Secondary / secondary special,4,Single / not married,2,Rented apartment,8,-15519,42.51780822,3,-3234,8.860273973,5,1,1,0,0,0,0,0,0,Laborers,1,10,60
5008895,Jeanne,Female,N,0,0,Y,1,5,0,10,297000,6,Commercial associate,6,Secondary / secondary special,4,Single / not married,2,Rented apartment,8,-15519,42.51780822,3,-3234,8.860273973,5,1,1,0,0,0,0,0,0,Laborers,1,10,60
5008896,Michelle,Female,N,0,0,Y,1,5,0,10,297000,6,Commercial associate,6,Secondary / secondary special,4,Single / not married,2,Rented apartment,8,-15519,42.51780822,3,-3234,8.860273973,5,1,1,0,0,0,0,0,0,Laborers,1,10,60
5008897,Andrea,Female,N,0,0,Y,1,5,0,10,297000,6,Commercial associate,6,Secondary / secondary special,4,Single / not married,2,Rented apartment,8,-15519,42.51780822,3,-3234,8.860273973,5,1,1,0,0,0,0,0,0,Laborers,1,10,60
5008898,Barbara,Female,N,0,0,Y,1,5,0,10,297000,6,Commercial associate,6,Secondary / secondary special,4,Single / not married,2,Rented apartment,8,-15519,42.51780822,3,-3234,8.860273973,5,1,1,0,0,0,0,0,0,Laborers,1,10,60
5008899,Ana,Female,N,0,0,Y,1,5,0,10,297000,6,Commercial associate,6,Secondary / secondary special,4,Single / not married,2,Rented apartment,8,-15519,42.51780822,3,-3234,8.860273973,5,1,1,0,0,0,0,0,0,Laborers,1,10,60
5008900,Crystal,Female,N,0,0,Y,1,5,0,10,297000,6,Commercial associate,6,Secondary / secondary special,4,Single / not married,2,Rented apartment,8,-15519,42.51780822,3,-3234,8.860273973,5,1,1,0,0,0,0,0,0,Laborers,1,10,60
5008903,Alison,Female,N,0,0,Y,1,5,0,10,297000,6,Commercial associate,6,Secondary / secondary special,4,Single / not married,2,Rented apartment,8,-15519,42.51780822,3,-3234,8.860273973,5,1,1,0,0,0,0,0,0,Laborers,1,10,60
5008905,Theresa,Female,N,0,0,Y,1,5,0,10,297000,6,Commercial associate,6,Secondary / secondary special,4,Single / not married,2,Rented apartment,8,-15519,42.51780822,3,-3234,8.860273973,5,1,1,0,0,0,0,0,0,Laborers,1,10,60
5008906,Heather,Female,N,0,0,Y,1,5,0,10,297000,6,Commercial associate,6,Secondary / secondary special,4,Single / not married,2,Rented apartment,8,-15519,42.51780822,3,-3234,8.860273973,5,1,1,0,0,0,0,0,0,Laborers,1,10,60
5008907,Amy,Female,N,0,0,Y,1,5,0,10,297000,6,Commercial associate,6,Secondary / secondary special,4,Single / not married,2,Rented apartment,8,-15519,42.51780822,3,-3234,8.860273973,5,1,1,0,0,0,0,0,0,Laborers,1,10,60
5008908,Betty,Female,N,0,0,Y,1,5,0,10,297000,6,Commercial associate,6,Secondary / secondary special,4,Single / not married,2,Rented apartment,8,-15519,42.51780822,3,-3234,8.860273973,5,1,1,0,0,0,0,0,0,Laborers,1,10,60
5008910,Pamela,Female,N,0,0,Y,1,5,0,10,297000,6,Commercial associate,6,Secondary / secondary special,4,Single / not married,2,Rented apartment,8,-15519,42.51780822,3,-3234,8.860273973,5,1,1,0,0,0,0,0,0,Laborers,1,10,60
5008911,Anna,Female,N,0,0,Y,1,5,0,10,297000,6,Commercial associate,6,Secondary / secondary special,4,Single / not married,2,Rented apartment,8,-15519,42.51780822,3,-3234,8.860273973,5,1,1,0,0,0,0,0,0,Laborers,1,10,60
5008914,Angel,Female,N,0,0,Y,1,5,0,10,297000,6,Commercial associate,6,Secondary / secondary special,4,Single / not married,2,Rented apartment,8,-15519,42.51780822,3,-3234,8.860273973,5,1,1,0,0,0,0,0,0,Laborers,1,10,60
5008915,Debra,Female,N,0,0,Y,1,5,0,10,297000,6,Commercial associate,6,Secondary / secondary special,4,Single / not married,2,Rented apartment,8,-15519,42.51780822,3,-3234,8.860273973,5,1,1,0,0,0,0,0,0,Laborers,1,10,60
5008916,Jody,Female,N,0,0,Y,1,5,0,10,297000,6,Commercial associate,6,Secondary / secondary special,4,Single / not married,2,Rented apartment,8,-15519,42.51780822,3,-3234,8.860273973,5,1,1,0,0,0,0,0,0,Laborers,1,10,60
5008919,Gabriella,Female,N,0,0,Y,1,5,0,10,297000,6,Commercial associate,6,Secondary / secondary special,4,Single / not married,2,Rented apartment,8,-15519,42.51780822,3,-3234,8.860273973,5,1,1,0,0,0,0,0,0,Laborers,1,10,60
5008922,Shari,Female,N,0,0,Y,1,5,0,10,297000,6,Commercial associate,6,Secondary / secondary special,4,Single / not married,2,Rented apartment,8,-15519,42.51780822,3,-3234,8.860273973,5,1,1,0,0,0,0,0,0,Laborers,1,10,60
5008923,Bonnie,Female,N,0,0,Y,1,5,0,10,297000,6,Commercial associate,6,Secondary / secondary special,4,Single / not married,2,Rented apartment,8,-15519,42.51780822,3,-3234,8.860273973,5,1,1,0,0,0,0,0,0,Laborers,1,10,60
5008924,Judith,Female,N,0,0,Y,1,5,0,10,297000,6,Commercial associate,6,Secondary / secondary special,4,Single / not married,2,Rented apartment,8,-15519,42.51780822,3,-3234,8.860273973,5,1,1,0,0,0,0,0,0,Laborers,1,10,60
5008925,Vanessa,Female,N,0,0,Y,1,5,0,10,297000,6,Commercial associate,6,Secondary / secondary special,4,Single / not married,2,Rented apartment,8,-15519,42.51780822,3,-3234,8.860273973,5,1,1,0,0,0,0,0,0,Laborers,1,10,60
5008926,Mary,Female,N,0,0,Y,1,5,0,10,297000,6,Commercial associate,6,Secondary / secondary special,4,Single / not married,2,Rented apartment,8,-15519,42.51780822,3,-3234,8.860273973,5,1,1,0,0,0,0,0,0,Laborers,1,10,60
5008927,Michele,Female,N,0,0,Y,1,5,0,10,297000,6,Commercial associate,6,Secondary / secondary special,4,Single / not married,2,Rented apartment,8,-15519,42.51780822,3,-3234,8.860273973,5,1,1,0,0,0,0,0,0,Laborers,1,10,60
5008928,Brittany,Female,N,0,0,Y,1,5,0,10,297000,6,Commercial associate,6,Secondary / secondary special,4,Single / not married,2,Rented apartment,8,-15519,42.51780822,3,-3234,8.860273973,5,1,1,0,0,0,0,0,0,Laborers,1,10,60
5008930,Nicole,Female,N,0,0,Y,1,5,0,10,297000,6,Commercial associate,6,Secondary / secondary special,4,Single / not married,2,Rented apartment,8,-15519,42.51780822,3,-3234,8.860273973,5,1,1,0,0,0,0,0,0,Laborers,1,10,60
5008933,Alexandra,Female,N,0,0,Y,1,5,0,10,297000,6,Commercial associate,6,Secondary / secondary special,4,Single / not married,2,Rented apartment,8,-15519,42.51780822,3,-3234,8.860273973,5,1,1,0,0,0,0,0,0,Laborers,1,10,60
5008934,Lori,Female,N,0,0,Y,1,5,0,10,297000,6,Commercial associate,6,Secondary / secondary special,4,Single / not married,2,Rented apartment,8,-15519,42.51780822,3,-3234,8.860273973,5,1,1,0,0,0,0,0,0,Laborers,1,10,60
5008937,Kelly,Female,N,0,0,Y,1,5,0,10,297000,6,Commercial associate,6,Secondary / secondary special,4,Single / not married,2,Rented apartment,8,-15519,42.51780822,3,-3234,8.860273973,5,1,1,0,0,0,0,0,0,Laborers,1,10,60
5008939,Maria,Female,N,0,0,Y,1,5,0,10,297000,6,Commercial associate,6,Secondary / secondary special,4,Single / not married,2,Rented apartment,8,-15519,42.51780822,3,-3234,8.860273973,5,1,1,0,0,0,0,0,0,Laborers,1,10,60
5008941,Caroline,Female,N,0,0,Y,1,5,0,10,297000,6,Commercial associate,6,Secondary / secondary special,4,Single / not married,2,Rented apartment,8,-15519,42.51780822,3,-3234,8.860273973,5,1,1,0,0,0,0,0,0,Laborers,1,10,60
6153773,Nina,Female,N,0,0,Y,1,5,0,10,297000,6,Commercial associate,6,Secondary / secondary special,4,Single / not married,2,Rented apartment,8,-15519,42.51780822,3,-3234,8.860273973,5,1,1,0,0,0,0,0,0,Laborers,1,10,60
6153774,Brandy,Female,N,0,0,Y,1,5,0,10,297000,6,Commercial associate,6,Secondary / secondary special,4,Single / not married,2,Rented apartment,8,-15519,42.51780822,3,-3234,8.860273973,5,1,1,0,0,0,0,0,0,Laborers,1,10,60
6153775,Kimberly,Female,N,0,0,Y,1,5,0,10,297000,6,Commercial associate,6,Secondary / secondary special,4,Single / not married,2,Rented apartment,8,-15519,42.51780822,3,-3234,8.860273973,5,1,1,0,0,0,0,0,0,Laborers,1,10,60
5008942,Jacqueline,Female,N,0,0,N,0,0,0,10,157500,6,Commercial associate,6,Higher education,8,Married,10,House / apartment,10,-13642,37.37534247,4,-4846,13.27671233,5,1,1,0,0,1,3,0,0,High skill tech staff,2,10,73
5008944,Tammy,Female,N,0,0,N,0,0,0,10,157500,6,Commercial associate,6,Higher education,8,Married,10,House / apartment,10,-13642,37.37534247,4,-4846,13.27671233,5,1,1,0,0,1,3,0,0,High skill tech staff,2,10,73
5008945,Nancy,Female,N,0,0,N,0,0,0,10,157500,6,Commercial associate,6,Higher education,8,Married,10,House / apartment,10,-13642,37.37534247,4,-4846,13.27671233,5,1,1,0,0,1,3,0,0,High skill tech staff,2,10,73
5008946,Diana,Female,N,0,0,N,0,0,0,10,157500,6,Commercial associate,6,Higher education,8,Married,10,House / apartment,10,-13642,37.37534247,4,-4846,13.27671233,5,1,1,0,0,1,3,0,0,High skill tech staff,2,10,73
5008947,Adam,Male,N,0,0,Y,1,5,0,10,135000,6,Working,8,Secondary / secondary special,4,Married,10,House / apartment,10,-15484,42.42191781,3,-1408,3.857534247,4,1,1,1,3,1,3,0,0,Drivers,2,10,77
